Energy :  -2.7909E+04

 sample of final configuration

      i       x(i)            y(i)            z(i)           fx(i)           fy(i)           fz(i)
    142 -4.90300000E+00 -6.12520000E+00 -3.44010000E+00  3.81888241E+04  1.27327417E+04 -1.35077071E+04
    143 -4.07470000E+00 -6.56640000E+00 -3.09470000E+00 -3.21244577E+04  1.38220542E+04 -9.95089829E+03
    144 -4.66190000E+00 -5.49130000E+00 -4.17500000E+00 -8.59338810E+03 -2.10096504E+04  2.36642146E+04
    145  7.94970000E+00 -1.91100000E+00  2.92310000E-01 -5.35608855E+03  4.17441384E+04 -1.28023655E+04
    146  7.12110000E+00 -1.60560000E+00 -1.76910000E-01  2.36163293E+04 -1.47679598E+04  1.73520371E+04
    147  8.54990000E+00 -1.12750000E+00  4.53690000E-01 -1.97388816E+04 -2.87956671E+04 -3.28539961E+03
    148 -5.17980000E+00 -6.05060000E+00  2.62980000E+00  3.26588306E+03 -2.86151649E+04  3.37672754E+04
    149 -5.72630000E+00 -6.87560000E+00  2.77380000E+00  1.57644399E+04  2.90602696E+04 -6.07199636E+03
    150 -4.49170000E+00 -5.97580000E+00  3.35160000E+00 -2.47465266E+04 -6.61626322E+01 -2.87944594E+04
    151 -7.27210000E+00 -8.06370000E+00  3.07660000E+00 -2.46687637E+04 -1.47624550E+04  2.29967763E+04
    152 -8.02150000E+00 -7.48270000E+00  3.39410000E+00  2.37855733E+04 -1.26701017E+04 -8.84046194E+03
    153 -7.34270000E+00  8.23320000E+00  3.50610000E+00  4.88880854E+03  2.80422714E+04 -1.30305762E+04
    154 -6.93480000E+00  4.83820000E+00 -3.64380000E+00  6.85250810E+03 -1.66495785E+04  3.99004907E+04
    155 -6.17190000E+00  5.11990000E+00 -3.06180000E+00 -2.11730175E+04 -5.54705975E+03 -2.09985148E+04
    156 -7.55770000E+00  4.25750000E+00 -3.11970000E+00  1.95600247E+04  2.04120960E+04 -1.78374756E+04
    157  4.57020000E+00  2.08410000E+00  3.75930000E+00  1.56373782E+04 -3.04634499E+03  4.29206288E+04
    158  5.50910000E+00  2.25240000E+00  4.05960000E+00 -3.16397782E+04 -5.33769009E+03 -1.24674640E+04
    159  4.02120000E+00  1.77670000E+00  4.53650000E+00  1.33277304E+04  1.03903052E+04 -2.74312678E+04
    160 -3.91040000E+00 -1.31650000E+00 -6.10260000E-01 -2.23973522E+04 -3.07603245E+04  1.56003256E+04
    161 -4.49370000E+00 -1.36900000E+00  2.00300000E-01  1.89755797E+04  1.49646777E+03 -2.76688733E+04
