Energy : -2.7909E+04

sample of starting configuration

      i       x(i)            y(i)            z(i)           fx(i)           fy(i)           fz(i)
    203 -3.06290000E+00  2.87610000E+00 -4.92790000E+00  1.86430000E+03  4.44320000E+03  6.51100000E+03
    204 -4.20190000E+00  3.06910000E+00 -6.08250000E+00 -5.49390000E+03  5.14490000E+03  3.67080000E+02
    205  5.07220000E+00 -3.31390000E+00 -3.33150000E+00 -1.00570000E+04  6.66560000E+03  6.34980000E+03
    206  4.39180000E+00 -3.58120000E+00 -4.01390000E+00  8.57960000E+02 -3.16090000E+03 -1.35670000E+03
    207  5.95980000E+00 -3.70550000E+00 -3.57380000E+00  7.50630000E+03 -5.00560000E+03 -2.74700000E+03
    208 -2.59360000E+00  4.51670000E+00  8.02310000E+00  4.05250000E+03  4.67880000E+03  4.02610000E+03
    209 -3.29140000E+00  4.08820000E+00  7.44900000E+00 -3.89720000E+03 -4.90460000E+03 -2.45640000E+03
    210 -1.73450000E+00  4.01240000E+00  7.93670000E+00  5.56260000E+02 -2.11290000E+03 -2.16890000E+03
    211  7.83230000E-02 -3.31030000E+00 -5.03030000E+00 -6.24980000E+03  2.62070000E+03 -7.51610000E+03
    212  9.17090000E-01 -2.78850000E+00 -4.87460000E+00  6.03510000E+03  1.17830000E+03  4.63510000E+03
    213  1.19990000E-01 -4.16930000E+00 -4.52000000E+00  2.22820000E+03 -2.64630000E+03  3.75970000E+03
    214  3.53990000E+00 -3.29770000E+00 -6.44710000E+00 -3.22800000E+03  8.88120000E+03 -1.41110000E+02
    215  4.45390000E+00 -3.62700000E+00 -6.68420000E+00  2.68030000E+03 -4.36140000E+03 -2.10030000E+03
    216  3.07090000E+00 -3.98520000E+00 -5.89270000E+00 -8.53500000E+01 -5.57510000E+03  7.90030000E+02
    217 -5.65880000E+00  4.20050000E+00  3.67840000E+00 -1.05680000E+04  1.99980000E+04  3.72520000E+03
    218 -4.75520000E+00  4.62760000E+00  3.64320000E+00  5.79570000E+03 -2.63780000E+03 -2.54570000E+03
    219 -5.56130000E+00  3.20740000E+00  3.61450000E+00  6.10940000E+03 -1.19490000E+04 -1.59860000E+03
    220 -6.65570000E+00  9.87310000E-01 -2.57160000E+00 -1.12780000E+04  6.24640000E+03  9.94050000E+02
    221 -6.52260000E+00  7.60960000E-02 -2.96140000E+00  3.85650000E+03 -3.34070000E+03 -7.89930000E+02
    222 -5.77760000E+00  1.34690000E+00 -2.25600000E+00  5.05710000E+03 -1.59550000E+03 -5.58680000E+02
